name,dist_ly,x,y,z,spect,temp,size,color,brightness,comp_val,comp_desc,stage,image,has_planets,planet_count,visible_from
Gliese Gl 195B,42.75,5.5,29.27,30.67,M4  :,3100,0.077,Red,0.0005,0.5,Metal-poor,Main Sequence (Red Dwarf),images/red_dwarf.jpg,FALSE,0,"55 Cancri System (32.1 ly away), Ross 128 System (34.6 ly away), Epsilon Eridani System (38.6 ly away)"
Capella,42.8,5.59,29.21,30.79,M1: comp,5296,14.049,Red,139.3157,0.5,Metal-poor,Main Sequence (Red Dwarf),images/red_dwarf.jpg,FALSE,0,"55 Cancri System (32.2 ly away), Ross 128 System (34.7 ly away), Epsilon Eridani System (38.7 ly away)"
Gliese GJ 3506,42.8,-10.05,12.43,39.71,M3,3691,0.139,Red,0.0032,0.5,Metal-poor,Main Sequence (Red Dwarf),images/red_dwarf.jpg,FALSE,0,"55 Cancri System (28.4 ly away), Ross 128 System (37.0 ly away), Wolf 359 System (40.2 ly away)"
Hipparcos 86963,42.84,-2.18,-36.22,-22.76,M2V:,3888,0.143,Red,0.0042,0.5,Metal-poor,Main Sequence (Red Dwarf),images/red_dwarf.jpg,FALSE,0,"Gliese 667 System (20.4 ly away), Gliese 581 System (30.9 ly away), Barnard's Star System (38.9 ly away)"
Gliese Gl 620.1B,42.92,-13.58,-30.34,-27.14,DA,12796,0.016,White,0.0059,1.0,Solar metallicity,White Dwarf,images/sirius.jpg,FALSE,0,"Gliese 667 System (21.2 ly away), Gliese 581 System (28.7 ly away), Proxima Centauri System (39.1 ly away)"
Gliese GJ 3036,42.92,27.15,3.44,33.06,m,3100,0.1,Red,0.0008,0.5,Metal-poor,Main Sequence (Red Dwarf),images/red_dwarf.jpg,FALSE,0,"Gliese 876 System (39.8 ly away), Tau Ceti System (40.1 ly away), Epsilon Eridani System (40.9 ly away)"
Gliese GJ 1031,42.92,35.95,11.04,-20.68,dM5,3516,0.069,White,0.0006,1.0,Solar metallicity,White Dwarf,images/sirius.jpg,FALSE,0,"Gliese 876 System (31.5 ly away), Tau Ceti System (31.6 ly away), Epsilon Eridani System (35.4 ly away)"
Gliese GJ 3372B,42.92,0.01,22.38,36.62,m,3100,0.083,Red,0.0006,0.5,Metal-poor,Main Sequence (Red Dwarf),images/red_dwarf.jpg,FALSE,0,"55 Cancri System (30.1 ly away), Ross 128 System (35.6 ly away), Epsilon Eridani System (41.3 ly away)"
Gliese Gl 425B,42.92,-39.64,6.73,-15.0,m,3100,0.269,Red,0.006,0.5,Metal-poor,Main Sequence (Red Dwarf),images/red_dwarf.jpg,FALSE,0,"Wolf 359 System (36.2 ly away), Gliese 581 System (36.8 ly away), Proxima Centauri System (40.6 ly away)"
Gliese GJ 3704,42.92,-15.0,-0.36,40.21,M4,3100,0.104,Red,0.0009,0.5,Metal-poor,Main Sequence (Red Dwarf),images/red_dwarf.jpg,FALSE,0,"55 Cancri System (34.9 ly away), Ross 128 System (39.9 ly away), Wolf 359 System (40.1 ly away)"
